ACCOUNT_ID,MEMBER_ID,ACCOUNT_TYPE,BALANCE,AVAILABLE_BALANCE,DATE_OPENED,DATE_CLOSED,STATUS,INTEREST_RATE,BRANCH_ID
1,61,Checking,47981.02,42352.59,2016-12-20,,Active,0.01,3
2,22,Checking,66134.53,57838.94,2024-09-15,,Active,0.01,1
3,75,Checking,78962.52,73938.1,2021-05-04,2024-01-08,Closed,0.01,4
4,92,Savings,6552.1,6248.03,2022-08-29,,Active,0.045,1
5,90,Money Market,72289.9,67956.97,2022-02-03,,Active,0.055,5
6,6,Money Market,45330.07,43028.58,2023-07-12,,Active,0.055,5
7,83,Money Market,1174.17,1072.03,2019-04-03,2019-04-07,Closed,0.055,1
8,56,Money Market,54061.18,52672.14,2019-11-14,,Active,0.055,4
9,23,Money Market,52390.96,51759.26,2022-01-18,2022-11-07,Closed,0.055,4
10,56,Money Market,27463.66,24355.44,2023-01-09,,Active,0.055,3
11,58,Savings,63815.44,59697.9,2021-07-29,2023-04-18,Closed,0.045,3
12,4,CD,72345.9,63467.32,2025-11-15,,Active,0.052,3
13,34,Money Market,23843.01,22398.68,2021-10-12,,Active,0.055,5
14,2,Savings,7368.54,7059.14,2024-03-15,2025-04-15,Closed,0.045,5
15,98,Savings,58732.73,55613.17,2016-07-18,2025-02-06,Closed,0.045,4
16,3,Checking,25080.6,22839.9,2016-10-10,,Active,0.01,3
17,85,Money Market,40279.82,37445.66,2020-03-17,2022-07-01,Closed,0.055,5
18,43,Money Market,59772.38,53235.52,2023-10-25,,Active,0.055,2
19,16,Savings,26890.02,25852.93,2019-11-30,,Active,0.045,2
20,28,CD,23574.82,22123.51,2017-01-06,,Frozen,0.052,5
21,37,Checking,70790.15,63317.33,2018-10-02,,Active,0.01,2
22,39,Checking,60210.77,52322.4,2022-11-29,,Active,0.01,1
23,71,Money Market,59310.74,51537.59,2017-05-18,2022-08-05,Closed,0.055,1
24,2,Money Market,39951.8,36598.66,2023-11-28,,Active,0.055,1
25,33,CD,9786.0,8414.02,2017-09-04,2020-09-23,Closed,0.052,1
26,74,Checking,12981.62,12613.87,2019-09-23,,Active,0.01,1
27,32,Checking,47480.4,43322.36,2022-10-08,,Frozen,0.01,5
28,29,CD,38348.68,35143.04,2024-08-23,,Frozen,0.052,4
29,40,Checking,51857.66,49835.91,2023-03-10,,Active,0.01,2
30,34,Checking,13434.15,11769.28,2026-02-23,,Active,0.01,2
31,1,CD,38347.76,36011.3,2021-02-15,,Active,0.052,1
32,30,Money Market,60120.55,57442.07,2018-03-01,2019-04-07,Closed,0.055,1
33,88,Savings,78540.05,76040.45,2023-07-02,,Frozen,0.045,2
34,55,Checking,46333.35,43884.41,2025-10-11,,Active,0.01,2
35,10,Checking,14186.84,12713.42,2016-09-17,,Frozen,0.01,3
36,57,Checking,39892.46,35728.23,2018-05-11,2024-09-03,Closed,0.01,3
37,65,CD,37265.73,35018.81,2025-03-13,2025-07-23,Closed,0.052,3
38,78,Money Market,2295.93,2030.38,2019-06-11,,Frozen,0.055,5
39,3,Money Market,49023.37,47281.39,2020-04-28,,Active,0.055,4
40,67,CD,77874.58,68313.4,2024-06-29,,Frozen,0.052,4
41,82,CD,82372.79,75824.28,2021-01-27,2021-04-07,Closed,0.052,3
42,42,Checking,72921.54,65590.78,2022-10-23,2023-10-27,Closed,0.01,3
43,85,CD,69171.76,64503.67,2024-12-17,2025-01-10,Closed,0.052,1
44,41,Money Market,27545.94,27422.75,2022-11-24,2023-11-02,Closed,0.055,5
45,1,CD,35184.72,30897.02,2024-05-02,,Active,0.052,5
46,97,CD,53197.2,51282.03,2020-09-16,,Active,0.052,3
47,71,Savings,78859.42,72212.94,2020-05-04,2022-12-24,Closed,0.045,1
48,4,Savings,60360.56,54120.03,2025-11-27,,Active,0.045,5
49,53,Checking,19177.09,18720.88,2019-09-25,,Active,0.01,4
50,16,Savings,42412.08,40609.16,2018-03-18,,Frozen,0.045,3
51,54,CD,83322.77,73870.6,2023-04-06,,Frozen,0.052,2
52,50,Savings,78366.61,72585.99,2020-01-06,,Active,0.045,1
53,36,CD,28955.41,28033.4,2024-04-24,,Active,0.052,1
54,37,Money Market,71201.71,66715.18,2019-01-04,2019-08-13,Closed,0.055,2
55,58,CD,29401.02,27424.91,2020-08-02,,Frozen,0.052,4
56,59,Money Market,73929.18,73715.98,2020-08-24,,Active,0.055,5
57,50,Savings,72775.5,66343.33,2026-04-17,,Active,0.045,4
58,91,CD,32878.09,31219.5,2018-02-23,,Active,0.052,4
59,5,Savings,42744.52,40116.89,2019-04-12,,Active,0.045,4
60,13,CD,1403.01,1222.9,2017-05-14,,Active,0.052,1
61,61,Money Market,28843.85,27514.31,2019-08-15,,Active,0.055,3
62,87,CD,81106.45,76566.1,2019-04-19,2022-06-09,Closed,0.052,5
63,5,Checking,20031.99,19083.67,2023-07-08,,Active,0.01,2
64,96,Checking,36944.18,31948.09,2018-01-03,,Active,0.01,4
65,22,Money Market,76800.7,65810.42,2020-10-12,,Active,0.055,3
66,46,Money Market,36665.31,32508.55,2020-10-23,2024-10-30,Closed,0.055,5
67,88,Savings,14531.61,12524.0,2025-06-16,2026-01-01,Closed,0.045,5
68,88,Savings,42351.95,39703.83,2020-09-09,,Active,0.045,4
69,82,Money Market,39117.54,37162.68,2022-09-26,2025-08-04,Closed,0.055,3
70,87,Savings,6370.88,6318.55,2016-11-30,,Frozen,0.045,3
71,82,CD,58707.62,53924.44,2023-01-20,,Active,0.052,2
72,50,CD,9154.86,8305.33,2020-05-27,,Active,0.052,5
73,38,Money Market,1962.67,1912.63,2021-06-21,2025-02-14,Closed,0.055,3
74,2,Checking,77411.38,74452.39,2017-12-10,,Active,0.01,2
75,78,Money Market,18693.49,16422.6,2016-08-26,,Active,0.055,2
76,81,Checking,76798.97,72724.87,2024-10-29,,Active,0.01,4
77,5,Money Market,62277.34,53777.73,2023-02-14,,Active,0.055,3
78,96,CD,15011.84,13057.66,2020-09-21,,Frozen,0.052,3
79,68,Money Market,70607.13,62737.65,2017-08-08,2019-08-31,Closed,0.055,3
80,96,Money Market,68379.34,62926.07,2022-10-17,,Active,0.055,2
81,97,Savings,73125.94,70100.9,2019-12-18,2026-01-08,Closed,0.045,5
82,47,Checking,67228.9,57284.93,2016-08-31,,Frozen,0.01,1
83,59,Money Market,57223.13,54410.68,2017-11-16,,Frozen,0.055,4
84,82,Money Market,9298.58,8229.92,2020-11-03,,Active,0.055,5
85,72,Money Market,77805.23,68717.97,2020-01-19,,Active,0.055,4
86,90,Money Market,55220.43,47903.8,2020-10-12,,Active,0.055,1
87,39,CD,9958.63,8815.58,2017-02-09,,Frozen,0.052,2
88,50,CD,31598.88,31358.95,2017-09-19,,Frozen,0.052,4
89,76,Savings,75271.63,71375.44,2020-01-05,2022-01-01,Closed,0.045,5
90,53,Money Market,2877.61,2605.9,2019-02-16,2026-01-21,Closed,0.055,4
91,31,Money Market,8535.21,8132.79,2016-08-07,,Frozen,0.055,3
92,8,CD,23522.33,23410.15,2018-03-15,2022-06-01,Closed,0.052,1
93,85,Savings,54580.71,51282.5,2025-06-23,,Active,0.045,1
94,43,Savings,84050.89,81365.19,2017-07-09,,Active,0.045,1
95,98,Savings,49883.92,48485.07,2024-02-03,,Active,0.045,3
96,100,Savings,67055.85,62992.08,2023-05-20,,Active,0.045,2
97,17,Money Market,67893.82,58829.24,2018-06-27,,Active,0.055,2
