LOAN_ID,MEMBER_ID,LOAN_TYPE,LOAN_AMOUNT,OUTSTANDING_BALANCE,INTEREST_RATE,MONTHLY_PAYMENT,ORIGINATION_DATE,MATURITY_DATE,LOAN_STATUS,DAYS_PAST_DUE,BRANCH_ID
1,12,Student,43136.64,10923.21,4.1,796.38,2020-07-15,2023-07-15,Current,0,2
2,44,Student,19400.39,3212.52,9.5,407.44,2023-05-05,2026-05-04,Current,0,1
3,65,Business,210428.76,139438.48,11.24,4600.46,2023-04-04,2028-04-02,Current,0,5
4,17,Business,100412.77,0.0,6.55,1967.04,2019-02-02,2024-02-01,Paid Off,0,5
5,22,Student,8276.93,2498.81,6.0,160.02,2023-06-21,2026-06-20,Default,234,5
6,37,Student,22550.22,0.0,5.32,428.86,2023-01-28,2026-01-27,Paid Off,0,4
7,25,Personal,24062.43,11849.01,14.0,559.89,2022-12-27,2025-12-26,Current,0,3
8,100,Student,42718.0,33933.37,6.3,831.83,2019-09-18,2022-09-17,Current,0,5
9,18,Personal,2774.11,1585.01,12.98,63.09,2023-05-04,2026-05-03,Current,0,1
10,92,Business,214279.85,0.0,7.35,4278.47,2025-07-22,2030-07-21,Paid Off,0,2
11,35,Student,72897.97,12972.67,4.81,1369.34,2021-01-16,2024-01-16,Current,0,2
12,58,Personal,32636.05,17189.6,12.23,729.77,2025-09-24,2028-09-23,Current,0,2
13,50,Auto,25620.9,20837.47,4.62,479.05,2018-09-03,2023-09-02,Current,0,3
14,19,Mortgage,140300.69,97040.54,6.78,2763.58,2025-04-02,2055-03-26,Current,0,2
15,98,Student,38645.11,4488.76,4.03,712.23,2018-12-29,2021-12-28,Current,0,2
16,20,Business,235654.23,45836.83,9.46,4944.57,2025-12-05,2030-12-04,Current,0,3
17,31,Personal,5142.84,3984.75,10.22,109.83,2024-07-05,2027-07-05,Default,238,1
18,15,Student,49755.43,29295.52,4.09,918.34,2020-06-17,2023-06-17,Delinquent,48,3
19,55,Auto,36896.05,9564.08,5.56,705.78,2020-01-11,2025-01-09,Current,0,1
20,68,Personal,3301.1,2536.73,13.5,75.96,2022-12-02,2025-12-01,Delinquent,94,5
21,3,Student,70499.86,65838.66,4.24,1306.01,2023-04-15,2026-04-14,Current,0,3
22,96,Auto,24783.41,17918.4,4.8,465.43,2018-08-02,2023-08-01,Current,0,1
23,99,Business,186444.88,74476.19,7.66,3750.16,2025-06-14,2030-06-13,Current,0,3
24,83,Mortgage,560103.34,283833.21,5.87,10794.54,2022-09-15,2052-09-07,Default,167,2
25,9,Student,7773.78,0.0,5.11,147.09,2023-06-24,2026-06-23,Paid Off,0,2
26,6,Personal,32734.61,0.0,13.38,751.2,2020-10-04,2023-10-04,Paid Off,0,5
27,61,Personal,2245.11,905.74,14.87,53.26,2020-04-20,2023-04-20,Current,0,1
28,84,Personal,10289.36,8808.35,16.61,253.56,2024-10-19,2027-10-19,Current,0,4
29,50,Personal,34106.6,14060.27,13.16,778.83,2021-08-04,2024-08-03,Current,0,5
30,35,Auto,42172.82,39888.46,4.85,792.96,2021-12-20,2026-12-19,Delinquent,53,5
31,38,Personal,4488.33,1618.14,11.24,98.13,2023-11-07,2026-11-06,Current,0,5
32,92,Student,17498.36,2379.81,6.44,341.88,2019-08-10,2022-08-09,Current,0,3
33,79,Student,25591.65,4191.53,9.39,536.1,2021-09-01,2024-08-31,Current,0,4
34,47,Business,202263.03,44773.46,9.92,4289.53,2022-01-21,2027-01-20,Current,0,5
35,87,Student,7609.92,0.0,4.37,141.42,2021-01-23,2024-01-23,Paid Off,0,3
36,47,Student,76210.03,51609.64,4.18,1409.72,2019-06-29,2022-06-28,Current,0,3
37,48,Student,62231.34,25633.55,7.16,1236.96,2025-03-26,2028-03-25,Delinquent,70,3
