TRANSACTION_ID,ACCOUNT_ID,MEMBER_ID,TRANSACTION_DATE,TRANSACTION_TYPE,AMOUNT,RUNNING_BALANCE,DESCRIPTION,CHANNEL,BRANCH_ID
1,16,3,2025-03-27,Transfer,4337.9,10872.81,Internal Transfer,ATM,2
2,83,59,2024-11-16,Withdrawal,3812.14,57512.31,Cash Withdrawal,ATM,5
3,69,82,2024-12-31,Fee,16.26,6511.33,Monthly Service Fee,Mobile,5
4,72,50,2025-07-04,Transfer,2284.38,41534.98,Zelle Transfer,Branch,1
5,118,19,2025-06-27,Transfer,4253.53,67653.06,External Transfer,ATM,4
6,55,58,2024-11-12,Fee,13.06,70426.37,Wire Fee,ATM,5
7,125,1,2025-01-22,Transfer,4472.89,64815.37,Internal Transfer,Branch,4
8,5,90,2024-10-24,Deposit,7901.94,13512.8,ACH Transfer In,Branch,4
9,52,50,2025-09-05,Withdrawal,4413.1,25728.38,Wire Transfer,Branch,3
10,65,22,2025-04-10,Deposit,3176.38,76832.64,Mobile Check Deposit,Branch,4
11,79,68,2024-08-29,Withdrawal,2157.57,7842.81,ATM Withdrawal,Branch,2
12,123,56,2025-09-18,Deposit,1149.63,19303.6,ACH Transfer In,Branch,1
13,88,50,2026-03-10,Deposit,8399.61,35954.45,Mobile Check Deposit,Mobile,1
14,59,5,2026-02-12,Fee,7.68,68525.74,Monthly Service Fee,Online,3
15,77,5,2025-11-18,Withdrawal,1925.95,69154.94,Bill Payment,ATM,1
16,136,23,2025-09-21,Interest,96.82,55286.72,CD Interest Payment,Online,2
17,39,3,2025-08-14,Fee,23.48,37658.39,Overdraft Fee,Branch,1
18,36,57,2026-03-23,Deposit,5021.64,32704.31,ACH Transfer In,Online,2
19,64,96,2025-01-28,Transfer,3230.21,21169.38,Zelle Transfer,Online,1
20,78,96,2024-10-13,Withdrawal,2598.39,43358.47,Cash Withdrawal,Online,1
21,62,87,2026-04-04,Fee,16.58,20567.84,Monthly Service Fee,Branch,3
22,82,47,2025-04-19,Withdrawal,1946.45,71328.83,Cash Withdrawal,Online,5
23,45,1,2025-04-02,Fee,33.63,65504.16,Monthly Service Fee,Branch,1
24,68,88,2026-04-27,Withdrawal,218.34,5233.81,Cash Withdrawal,Online,5
25,107,56,2025-02-02,Fee,26.05,7098.12,Overdraft Fee,Online,1
26,80,96,2025-09-30,Deposit,4358.31,17351.47,Mobile Check Deposit,Online,4
27,17,85,2026-03-03,Transfer,3499.41,62073.47,Internal Transfer,Branch,2
28,23,71,2025-11-09,Fee,8.48,52084.0,Monthly Service Fee,Online,2
29,31,1,2025-12-12,Deposit,6024.46,59657.32,Mobile Check Deposit,Mobile,3
30,134,66,2025-12-29,Interest,6660.82,61292.99,Monthly Interest Credit,Online,2
31,69,82,2025-11-12,Deposit,6562.87,2592.35,ACH Transfer In,Online,5
32,17,85,2025-09-14,Transfer,3567.37,49057.73,Internal Transfer,Mobile,4
33,131,89,2025-07-14,Transfer,296.09,73059.65,Internal Transfer,Online,2
34,66,46,2025-12-01,Deposit,7603.92,57332.82,Payroll Direct Deposit,ATM,5
35,1,61,2025-05-24,Deposit,7302.39,1143.26,Payroll Direct Deposit,Mobile,3
36,99,23,2025-05-26,Withdrawal,911.23,81633.05,ATM Withdrawal,Mobile,2
37,83,59,2025-01-24,Withdrawal,2092.96,61252.44,Wire Transfer,Branch,5
38,96,100,2026-03-06,Deposit,4279.8,76674.79,Mobile Check Deposit,ATM,5
39,12,4,2024-07-26,Fee,7.07,39586.5,Wire Fee,Online,3
40,23,71,2025-12-31,Interest,3895.92,31421.25,CD Interest Payment,Online,5
41,63,5,2026-02-24,Fee,16.05,82610.72,Overdraft Fee,ATM,2
42,2,22,2024-09-29,Fee,5.72,46077.19,Monthly Service Fee,Online,1
43,97,17,2025-06-01,Transfer,537.67,45081.25,Internal Transfer,Mobile,4
44,16,3,2024-09-02,Withdrawal,3564.03,7997.96,Bill Payment,Mobile,3
45,118,19,2026-01-19,Deposit,4947.03,43010.82,ACH Transfer In,Branch,5
46,146,100,2025-03-23,Deposit,3711.48,81962.13,Mobile Check Deposit,Online,3
47,81,97,2025-09-14,Fee,26.02,62531.46,Wire Fee,Mobile,3
48,60,13,2025-10-11,Deposit,8021.63,11655.9,Payroll Direct Deposit,ATM,1
49,43,85,2025-04-27,Fee,18.98,34612.92,Wire Fee,ATM,4
50,79,68,2026-02-21,Fee,12.95,10280.66,Overdraft Fee,Online,5
51,11,58,2025-03-26,Withdrawal,4182.91,27929.68,ATM Withdrawal,ATM,3
52,102,39,2024-06-14,Interest,439.86,25471.58,Monthly Interest Credit,Branch,4
53,116,24,2024-08-09,Interest,6364.96,21312.49,CD Interest Payment,Branch,2
54,32,30,2025-03-04,Deposit,547.65,66403.5,Mobile Check Deposit,ATM,2
55,103,55,2025-06-21,Transfer,3437.7,79700.11,Internal Transfer,Online,1
56,6,6,2025-06-17,Deposit,1700.93,54944.29,Mobile Check Deposit,Branch,3
57,32,30,2025-09-08,Deposit,8010.83,4399.14,ACH Transfer In,Mobile,4
58,8,56,2024-12-16,Fee,25.5,14771.33,Overdraft Fee,ATM,3
59,72,50,2024-05-20,Fee,31.5,3041.74,Overdraft Fee,Online,4
60,106,65,2024-11-07,Interest,4084.79,7547.56,CD Interest Payment,ATM,4
61,52,50,2024-05-07,Interest,2136.53,84498.01,Savings Interest,Branch,4
62,92,8,2024-10-11,Fee,21.34,41249.29,Wire Fee,Mobile,3
63,47,71,2024-06-27,Deposit,2727.49,18694.81,Cash Deposit,Branch,4
64,136,23,2025-03-10,Transfer,3838.87,84966.53,Internal Transfer,Branch,2
65,62,87,2025-09-28,Transfer,2677.77,67276.04,Zelle Transfer,Branch,2
66,148,20,2025-06-04,Fee,15.64,71349.97,Overdraft Fee,ATM,2
67,82,47,2024-06-18,Transfer,4571.62,2494.74,Zelle Transfer,Online,5
68,145,67,2026-02-17,Withdrawal,2824.28,16081.04,Cash Withdrawal,Online,2
69,126,38,2026-04-25,Deposit,789.93,19849.72,Mobile Check Deposit,Branch,5
70,123,56,2025-04-15,Deposit,2836.45,52240.04,Mobile Check Deposit,Online,2
71,83,59,2024-11-30,Deposit,210.71,49903.12,Mobile Check Deposit,Branch,5
72,94,43,2024-09-13,Deposit,3191.18,80069.28,ACH Transfer In,Branch,3
73,78,96,2024-08-11,Transfer,699.53,13472.08,External Transfer,Mobile,3
74,45,1,2025-08-16,Interest,5902.92,78958.96,CD Interest Payment,ATM,5
75,45,1,2025-10-20,Fee,14.2,58553.52,Overdraft Fee,ATM,1
76,147,43,2026-04-09,Fee,30.52,65543.5,Monthly Service Fee,ATM,5
77,82,47,2025-02-02,Interest,1897.09,48115.22,CD Interest Payment,ATM,3
78,20,28,2026-02-15,Withdrawal,1747.11,27227.14,ATM Withdrawal,Online,4
79,3,75,2025-03-28,Transfer,1064.23,58950.65,External Transfer,Online,1
80,1,61,2026-03-06,Deposit,3295.82,62296.42,Mobile Check Deposit,Mobile,4
81,97,17,2025-02-04,Transfer,2739.2,8711.28,External Transfer,ATM,2
82,116,24,2024-07-02,Deposit,6798.17,2936.75,Payroll Direct Deposit,Online,3
83,27,32,2026-04-09,Deposit,2921.82,75485.36,Mobile Check Deposit,Branch,5
84,24,2,2026-02-03,Transfer,2978.27,52198.44,External Transfer,Branch,4
85,43,85,2024-08-10,Interest,7565.66,13438.11,Monthly Interest Credit,Online,2
86,49,53,2026-01-23,Fee,25.92,61401.04,Wire Fee,Online,3
87,61,61,2024-07-30,Deposit,445.66,48643.26,ACH Transfer In,ATM,1
88,93,85,2026-04-30,Deposit,3648.96,25107.25,ACH Transfer In,ATM,1
89,7,83,2025-02-16,Withdrawal,870.74,24874.79,ATM Withdrawal,Mobile,1
90,79,68,2024-08-06,Fee,19.13,76075.1,Wire Fee,Branch,5
91,100,96,2026-04-20,Withdrawal,1867.68,32484.7,Bill Payment,Mobile,1
92,68,88,2026-01-05,Fee,18.95,19307.97,Wire Fee,Branch,2
93,25,33,2025-11-08,Deposit,5687.5,68714.5,ACH Transfer In,ATM,5
94,16,3,2026-04-20,Fee,29.55,35641.86,ATM Fee,ATM,4
95,77,5,2025-04-08,Deposit,3370.97,72599.49,Payroll Direct Deposit,ATM,1
96,115,79,2025-10-12,Withdrawal,4746.33,14292.29,Bill Payment,ATM,2
97,11,58,2025-03-11,Fee,7.35,58097.35,Overdraft Fee,ATM,5
98,67,88,2025-02-06,Transfer,4555.81,77713.37,Internal Transfer,Branch,4
99,143,58,2024-10-19,Fee,21.56,72827.39,ATM Fee,Branch,5
100,134,66,2025-04-06,Fee,8.38,12804.63,Monthly Service Fee,Branch,5
101,26,74,2024-08-26,Transfer,4340.03,74823.53,External Transfer,Online,4
102,125,1,2024-09-19,Interest,5185.95,3280.84,CD Interest Payment,Mobile,2
103,103,55,2026-02-03,Deposit,3379.34,74723.5,Mobile Check Deposit,Branch,4
104,69,82,2025-11-15,Transfer,120.76,69496.07,External Transfer,Online,3
105,126,38,2024-05-28,Deposit,8266.91,19453.58,Cash Deposit,Mobile,3
106,69,82,2025-08-30,Fee,23.15,7680.45,ATM Fee,ATM,4
107,125,1,2025-07-28,Interest,7374.43,69804.38,Savings Interest,ATM,1
